Position,Time
N28.916900E77.115200,2024-01-28 07:00:00
N28.91749E77.148095,2024-01-28 07:00:01
N28.91749E77.14842076923077,2024-01-28 07:00:02
N28.91749E77.14875096774195,2024-01-28 07:00:03
N28.91749E77.14908225806452,2024-01-28 07:00:04
N28.91749E77.1494135483871,2024-01-28 07:00:05
N28.917485E77.14775,2024-01-28 07:00:06
N28.91748425531915E77.14972170212766,2024-01-28 07:00:07
N28.917476470588237E77.14744470588235,2024-01-28 07:00:08
N28.91747085106383E77.15026234042553,2024-01-28 07:00:09
N28.917466E77.147104,2024-01-28 07:00:10
N28.917461276595745E77.1506485106383,2024-01-28 07:00:11
N28.917455454545454E77.15095625000001,2024-01-28 07:00:12
N28.917451666666665E77.14676666666666,2024-01-28 07:00:13
N28.917449545454545E77.151289375,2024-01-28 07:00:14
N28.917443636363636E77.1516225,2024-01-28 07:00:15
N28.917437272727273E77.15198125,2024-01-28 07:00:16
N28.917431363636364E77.152314375,2024-01-28 07:00:17
N28.917430588235295E77.14646176470588,2024-01-28 07:00:18
N28.917425454545455E77.1526475,2024-01-28 07:00:19
N28.91742E77.15295499999999,2024-01-28 07:00:20
N28.917413636363637E77.15331375,2024-01-28 07:00:21
N28.91741222222222E77.14612333333334,2024-01-28 07:00:22
N28.917406818181817E77.15369812499999,2024-01-28 07:00:23
N28.917398636363636E77.15415937499999,2024-01-28 07:00:24
N28.91739090909091E77.154595,2024-01-28 07:00:25
N28.91738642857143E77.14579499999999,2024-01-28 07:00:26
N28.91738363636364E77.155005,2024-01-28 07:00:27
N28.91738E77.15541666666667,2024-01-28 07:00:28
N28.91736724137931E77.15585689655173,2024-01-28 07:00:29
N28.917361379310343E77.15629655172414,2024-01-28 07:00:30
N28.917360000000002E77.14546333333332,2024-01-28 07:00:31
N28.917353793103448E77.15670620689656,2024-01-28 07:00:32
N28.91735E77.16124,2024-01-28 07:00:33
N28.917345238095237E77.16111380952381,2024-01-28 07:00:34
N28.917344999999997E77.15714,2024-01-28 07:00:35
N28.917343076923075E77.1613936923077,2024-01-28 07:00:36
N28.91733672413793E77.15754827586207,2024-01-28 07:00:37
N28.917336153846154E77.16154738461539,2024-01-28 07:00:38
N28.917334761904762E77.16083619047619,2024-01-28 07:00:39
N28.917334E77.14512966666666,2024-01-28 07:00:40
N28.917328076923077E77.1617266923077,2024-01-28 07:00:41
N28.917326923076924E77.15798461538462,2024-01-28 07:00:42
N28.9173245E77.16042949999999,2024-01-28 07:00:43
N28.91732E77.15840307692308,2024-01-28 07:00:44
N28.91732E77.15884722222222,2024-01-28 07:00:45
N28.917318846153847E77.16193161538462,2024-01-28 07:00:46
N28.91731625E77.15925874999999,2024-01-28 07:00:47
N28.91731E77.15964,2024-01-28 07:00:48
N28.91731E77.16004,2024-01-28 07:00:49
N28.917307307692308E77.16218776923077,2024-01-28 07:00:50
N28.917304E77.144802,2024-01-28 07:00:51
N28.917292307692307E77.16252076923077,2024-01-28 07:00:52
N28.917276153846153E77.16287938461538,2024-01-28 07:00:53
N28.917265454545454E77.14448181818182,2024-01-28 07:00:54
N28.917258846153846E77.16326361538462,2024-01-28 07:00:55
N28.917240384615386E77.16367346153847,2024-01-28 07:00:56
N28.917219615384617E77.16413453846154,2024-01-28 07:00:57
N28.91721E77.14414,2024-01-28 07:00:58
N28.9172E77.16457,2024-01-28 07:00:59
N28.917184210526315E77.16495684210525,2024-01-28 07:01:00
N28.917166315789473E77.16539526315789,2024-01-28 07:01:01
N28.9171575E77.1437975,2024-01-28 07:01:02
N28.9171464E77.16583560000001,2024-01-28 07:01:03
N28.917126E77.16626400000001,2024-01-28 07:01:04
